Question,Answer,Type
What are the characteristics of RNA molecule that was accumulated into the protocell?,"Exhibit enzyme catalyzed activities
Able to replicate
grow and
replicate",Structure
Describe the role of mitochondria in cellular respiration.,"Mitochondria play a central role in cellular respiration, which is the process by which cells generate ATP, the main energy currency of the cell. Cellular respiration begins in the cytoplasm with glycolysis, where one molecule of glucose is broken down into two molecules of pyruvate. These pyruvate molecules then enter the mitochondria, where further stages of respiration occur, provided molecular oxygen (O?) is present.

The first step in the mitochondria is the oxidation of pyruvate, also known as the link reaction. The two pyruvate molecules are actively transported across the mitochondrial membranes into the matrix. Once inside, each pyruvate is converted into an acetyl group by releasing two molecules of carbon dioxide (CO?) as waste. This acetyl group then combines with coenzyme A to form acetyl coenzyme-A. During this reaction, two molecules of NAD? are reduced to two NADH molecules. Acetyl coenzyme-A then enters the citric acid cycle, also known as the Krebs cycle or the tricarboxylic acid (TCA) cycle.

The Krebs cycle occurs in the mitochondrial matrix. In this cycle, acetyl coenzyme-A donates its acetyl group (two carbon atoms) to a four-carbon molecule called oxaloacetic acid (oxaloacetate), forming a six-carbon compound known as citric acid (citrate). This citrate then undergoes a series of reactions that regenerate oxaloacetic acid, allowing the cycle to continue. During these reactions, two more molecules of CO? are released through a process called decarboxylation.

The Krebs cycle also results in the direct formation of one molecule of ATP via substrate-level phosphorylation. In addition to ATP, each cycle produces one molecule of FADH? and three molecules of NADH. Since one glucose molecule generates two acetyl coenzyme-A molecules, these numbers are doubled when considering the total yield from glucose, resulting in two ATP, two FADH?, and six NADH molecules.

The next stage of cellular respiration is the electron transport chain (ETC), which takes place in the inner membrane of the mitochondria, specifically in the cristae. The ETC synthesizes ATP through a process known as oxidative phosphorylation. The NADH and FADH? molecules generated in the Krebs cycle carry high-energy electrons to the ETC. As these electrons pass through a series of protein and non-protein molecules embedded in the inner membrane, they release energy, which is used to pump protons across the membrane, creating a proton gradient.

Ultimately, the electrons are accepted by molecular oxygen (O?), the final electron acceptor, and combine with protons to form water (H?O). The energy from the proton gradient is harnessed by ATP synthase, an enzyme that produces ATP from ADP and inorganic phosphate. Each molecule of FADH? contributes to the formation of 1.5 ATP molecules, while NADH contributes to the formation of 2.5 ATP molecules. The electron transport chain produces a total of 28 ATP molecules.

In summary, the total number of ATP molecules produced by mitochondria during cellular respiration is 30, which includes two ATP molecules from the Krebs cycle and 28 ATP molecules from the electron transport chain. Through these stages—oxidation of pyruvate, the Krebs cycle, and oxidative phosphorylation—mitochondria efficiently convert energy from glucose into ATP, sustaining cellular functions.",Essay
How is the volume of the thoracic cavity increased during deep breathing?,"Muscles of neck, back and chest used additionally.",Structure
"Briefly describe the main types of joints, their functions and its significance in human.","Joints, also known as articulations, are crucial components of the human skeletal system, connecting bones and facilitating movement. There are three main types of joints, each with distinct structures, functions, and significance in human mobility and stability: ball and socket joints, hinge joints, and pivot joints.

Ball and socket joints (22) are characterized by a ball-shaped head of one bone fitting into a cup-shaped socket of another bone (23). This type of joint allows for a wide range of movements (24), including flexion, extension, adduction, abduction, rotation, and circumduction (25, 26). For example, the shoulder joint (27) and the hip joint (28) are classic examples of ball and socket joints, enabling complex and versatile movements essential for daily activities and sports. The significance of these joints lies in their ability to provide a high degree of freedom, allowing humans to perform intricate tasks that require coordination and balance.

Hinge joints (29) are another common type of joint, where the articulating ends of the bones fit together much like the hinge of a door (30). These joints allow for restricted movements, primarily flexion and extension (31, 32). Notable examples include the elbow joint (33) and the knee joint, as well as the joints between the phalanges of the fingers and toes (34). Hinge joints are significant for their role in providing stability and support during movements that involve bending and straightening, such as walking, running, and lifting. They are essential for everyday functional activities and help maintain posture and balance.

Pivot joints (35) consist of one bone fitting into a hoop-shaped ligament that holds it close to another bone (36). This design allows for rotation around a single axis (38). A prominent example is found within the transverse ligament ring of the atlas, which allows the odontoid process of the axis to join (39). The pivot joint's significance lies in its ability to enable rotational movements, such as turning the head from side to side, which is crucial for visual orientation and balance.

In summary, the main types of joints—ball and socket joints, hinge joints, and pivot joints—each serve specific functions that contribute to the overall mobility, stability, and functionality of the human body. Their diverse movements allow for a range of physical activities, from simple daily tasks to complex athletic maneuvers, underscoring the importance of joints in human anatomy and physiology.",Essay
How does a viroid structurally differ from a virus?,Due to absence of protein coat / capsid / protective layer.,Structure
"Indicate three advantages found in using microbial process in industrial and agricultural processes, rather than using chemical methods.","Cheap raw materials can be used.
metabolizel convert wide range of raw materials.
Normal temperature and pressure.
High reproductive rate",Structure
Explain the role of the DNA helicase in DNA replication:,Breaks hydrogen bonds between DNA strands.,Structure
Which allows the movement of fluid from one sieve tube to the next?,Sieve plates,Structure
Briefly describe the excretory structure y Malpighian tubule ,"Extensive blind end tubules 
immersed in haemolymph and opens into the digestive tract ",Structure
State two major exotoxins contributing to pathogenicity and a pathogen producing each of them,"Neurotoxin
Exotoxin: Botulinum toxin
Pathogen: Clostridium botulinum
Enterotoxin
Exotoxin: Cholera toxin
Pathogen: Vibrio cholerae
Cytotoxin
Exotoxin: Diphtheria toxin
Pathogen: Corynebacterium diphtheriae",Structure
Name the basic structural unit of excretion for the Centipede,Malphigian tubules,Structure
How the data extended for polygenic character representing a population?,Normal distribution curve,Structure
Name the most abundant type of connective tissue found in human?,Loose connective tissue/ areolar tissue,Structure
What are the components located on the membrane system of thylakoids?,"Chlorophylls, carotenoids and electron acceptors",Structure
"Briefly describe the regeneration of carbon dioxide acceptor, one of the steps, in the Calvin cycle."," RUBP is regenerated by a series of complex reactions (From G3P)  
by energy/ (a portion of) ATP generated from light reactions. ",Structure
What is the tissue of the above diagram that appears in red when stained with Safranine?,Xylem,Structure
Which nutrient is found with increased levels in genetically modified “golden rice”?,? carotene / Pro vitamin A,Structure
How the pericycle of a monocot root differs from the pericycle of a dicot root?,Formation of cork cambium / lateral roots,Structure
What is the structural and functional unit of vertebrate nervous system,"structural - nurone 
functional - reflex arch ",Structure
What is meant by ultrafiltration that takes place during urine formation?,Filtration of blood under high pressure from glomerulus to the Bowman’s capsule,Structure
What is global warming?,Increase of average temperature of the atmosphere,Structure
What role do electrons play in the light-dependent reactions of photosynthesis?,"Electrons excited by light energy are transferred through an electron transport chain, leading to the production of NADPH and ATP.",Structure
Give two unique structural features of meristematic cells which can be used to differentiate them from parenchyma cells.,"Central nucleus
Dense cytoplasm",Structure
Name the three major functional areas of the cerebral cortex of man.,"Sensory areas 
Association areas 
Motor areas",Structure
What is Biodiversity Hotspot?,"The areas with a high concentration of endemic species 
facing exceptional levels of threats",Structure
What is the structural feature used to divide plants into two major groups?,vascular tissue,Structure
Name the two nucleotides produced during light reactions of photosynthesis.,"ATP, NADPH",Structure
Indicate how cork cambium forms in the stem and root.,"Stem: from outer layer of (parenchyma cell) cortex 
Root: from pericycle",Structure
Indicate the exact location of each of the following enzymes.,"NADP Reductase: Thylakoid membrane of chloroplast / grana 
 PEP carboxylase: (cytosol of) Mesophyll (cell)",Structure
Indicate the molecules which is formed in the citric acid cycle related to a glucose molecule,"4 CO2 
2 ATP 
 6 NADH 
2 FADH2",Structure
"Write in correct order, the passage of air from outside to alveoli in man.","nostrils, nasal cavity, pharynx, larynx, trachea, bronchus, bronchiole, alveolar duct",Structure
Name the type of epithelium Thyroid gland  of human body.,Simple cuboidal epithelium,Structure
What is removal of contaminating materials in the isolation of DNA?,Removal of all other molecules / other than DNA,Structure
Write two reasons to success the mendelian experiments.,"Carried out thousands of genetic crosses of any given kind. 
kept accurate records of his results. 
 He usually followed up each cross for at least two offspring generations F1and F2
did a quantitative analysis of the phenotypes of the resulting offspring.",Structure
Name the monomer of the Spider’s silk fiber ,amino acid,Structure
Name the structure which is formed by the secondary growth of root?,Lateral rool,Structure
Indicate three characteristics that can be seen only in nematodes.,"Pseudocoelom 
 (Cylindrical) body with tapering ends 
tough cuticle 
longitudinal muscle in body wall ",Structure
Which is the supportive cell in a nervous tissue?,Glial cells /Neuroglia,Structure
Name the respiratory structure Scorpion:,Book lung,Structure
State the significance of RNA polymerase in DNA synthesis.,"Initiates synthesis of RNA on a DNA template by adding ribonucleotides 
Adds/forms a short RNA primer (on the DNA template) 
Forms DNA-RNA hybrid to facilitate the action of DNA polymerase",Structure
"Antimicrobial proteins are two types, what are they?","Complement proteins 
 Interferons ",Structure
 What is phyllotaxy?,Arrangement of leaves on the stem,Structure
Which vitamin act as an antioxidant and water soluble ?,Vitamin C/ ascorbic acid,Structure
Name the process which involves in the synthesis of ATP within cells.,Phosphorylation,Structure
Name two hormones that are secreted by the digestive tract of human and have functions antagonistic to each other.,"secretin / cholecystokinin (Do not accept abbreviation - CCK) 
gastrin ",Structure
What are the for main forest ecosystems in Sri Lanka?,"Sri Lanka is home to a diverse range of forest ecosystems, each characterized by unique climatic conditions, flora, and fauna. The four main forest ecosystems in Sri Lanka are as follows:

Tropical Rain Forests: These forests are primarily found in the southwestern regions of Sri Lanka, particularly in areas such as Sinharaja and the Kanneliya Forest Reserve. Characterized by high annual rainfall, typically exceeding 2,500 mm, tropical rain forests are known for their rich biodiversity. They host a variety of plant species, including towering trees, ferns, and a multitude of epiphytes. The dense canopy provides habitat for numerous animals, including endemic species such as the Sri Lankan blue magpie and the purple-faced langur. The tropical rain forests play a crucial role in maintaining ecological balance and supporting the island's rich wildlife.

Dry Mixed Evergreen Forests: These forests are prevalent in the dry zones of Sri Lanka, particularly in areas like the Anuradhapura and Polonnaruwa districts. They experience a distinct dry season, with annual rainfall ranging from 1,000 to 2,000 mm. The vegetation in these forests consists of a mixture of deciduous and evergreen species, allowing for a diverse ecosystem. Common tree species include teak, palu, and ebony, which provide essential habitat and food sources for various animals. Dry mixed evergreen forests are also vital for agriculture and are often utilized for timber production and other resources.

Mountain Forests: Located in the central highlands of Sri Lanka, mountain forests are found at elevations above 1,000 meters. These forests experience cooler temperatures and higher humidity compared to the lower-lying areas. The flora here is characterized by unique species adapted to the cooler climate, including endemic trees like the Sri Lankan cedar and numerous shrubs. The mountain forests provide critical watershed areas, influencing the hydrology of the surrounding regions. They are also home to several endemic species, such as the Sri Lankan leopard and various bird species.

Thorn Forests/Shrubs: Thorn forests, also referred to as scrub forests, are found in the arid and semi-arid regions of Sri Lanka, particularly in the northern and eastern parts of the island. These forests are characterized by low, thorny trees and shrubs, adapted to withstand dry conditions. The vegetation typically consists of drought-resistant species, such as acacia and various grasses. Thorn forests provide essential resources for local communities and serve as habitats for various wildlife, including small mammals and reptiles.

In summary, the four main forest ecosystems of Sri Lanka—tropical rain forests, dry mixed evergreen forests, mountain forests, and thorn forests—each play significant roles in maintaining the ecological diversity and health of the island. These ecosystems are not only vital for wildlife but also provide essential resources and services to local communities, making their conservation a priority for sustainable development in Sri Lanka.",Essay
Write with “correct” or “incorrect’” weather Carotenoids do not absorb red wavelengths of the visible spectrum. ,correct,Structure
State the major events that took place in evolution of organisms during About 1.8 billion years ago ,origin of first eukaryotic organism,Structure
Name the eras in which each of the following took place.,"Colonization of land by plants : Paleozoic 
 Dominance of gymnosperms : Mesozoic 
Appearance of first seed plants : Paleozoic",Structure
State a similarity between nervous coordination and hormonal coordination.,Chemical transmission,Structure
"Doctors injected a mother with anti D (against the formation of antibodies to Rh + factor) to a mother on her first parturition, to prevent the second child from Rh factor. State the blood type of mother and fetus regarding Rh factor.","Mother :- Rh -
Fetus :- Rh +",Structure
What molecular type is used in PCR as a primer?,DNA,Structure
Indicate two antimicrobial substances which found in the mouth protect against bacteria that enter the mouth.,"Lysozyme  
Immunoglobulin ",Structure
What is the importance of the aggregation of statoliths at the lower point of root cap?,Slow growth in lower side and more rapid elongation on upper side,Structure
What is respiratory quotient value during the germination of a seed of a legume plant?,0.8,Structure
State two locations in Sri Lanka where villus are common.,"Wilpattu (national park) 
Mahaweli flood plains",Structure
Name a disaccharide which gives molecules with different carbonyl groups by hydrolysis in living matter.,Sucrose,Structure
write a short notes on Controlling measures associated with filariasis transmission,"Controlling Measures Associated with Filariasis Transmission
Filariasis is a neglected tropical disease caused by filarial worms, primarily transmitted to humans through mosquito bites. The control and prevention of filariasis transmission rely on a multi-faceted approach aimed at reducing mosquito populations, preventing mosquito bites, and identifying and treating infected individuals. The following measures are critical in controlling the transmission of filariasis.

Personal Protection from Mosquito Bites
One of the primary strategies for preventing filariasis is personal protection against mosquito bites. This can be effectively achieved through the use of mosquito nets, particularly insecticide-treated nets, which provide a physical barrier while allowing airflow. Additionally, individuals can employ mosquito repellents on exposed skin to deter bites. Wearing appropriate clothing, such as long-sleeved shirts and trousers, further reduces skin exposure to mosquitoes, thereby minimizing the risk of infection.

Elimination of Breeding Sites
Another essential measure in controlling filariasis is the elimination of mosquito breeding sites. Mosquitoes require stagnant water to breed, so addressing these environments can significantly reduce their populations. This includes repairing broken septic tanks, cleaning drainage systems, and preventing the dumping of garbage into drains, which can create breeding habitats. Furthermore, the chemical control of aquatic plants in water reservoirs can help manage mosquito breeding areas.

Using biological control methods, such as introducing larvivorous fish like guppy and nalahandaya into water bodies, is also effective. These fish consume mosquito larvae, thereby reducing their population and breaking the transmission cycle.

Screening and Monitoring
Monitoring and screening the healthy population for filariasis is crucial for controlling the disease. Night blood films can be used to detect individuals who harbor the infection but do not exhibit any symptoms. Identifying asymptomatic carriers is essential as they can unknowingly contribute to the transmission of filarial infections. Once detected, these individuals can be treated to prevent further spread of the disease.

Additionally, monitoring the vector mosquito population for infectivity is important. Understanding the dynamics of mosquito populations, including their behavior and infection rates, can help in designing targeted interventions and control measures.

Conclusion
In conclusion, controlling measures associated with filariasis transmission require a comprehensive approach that combines personal protection against mosquito bites, the elimination of breeding sites, and active screening of the population. By implementing these strategies, we can significantly reduce the incidence of filariasis and protect communities from the debilitating effects of this disease. Collaborative efforts among public health officials, communities, and individuals are essential for the successful control and eventual elimination of filariasis.",Essay
Water is a vital inorganic molecule. How polarity originates in a water molecule?,(Due to) uneven charge distribution (within water molecule),Structure
Indicate briefly what is binomial nomenclature.,"Name of an organism has two parts
first generic name and 
second specific epithet ",Structure
What is osmosis?,The diffusion of free water molecules across a selectively permeable membrane,Structure
What is meant by mycorrhizae.," symbiotic association between plant 
root with fungi",Structure
Which the major class of photoreceptor that controls the photo period?,Phytochrome,Structure
Name the endocrine structure that secretes the above hormone,"Before second trimester — corpus luteum 
After second trimester — placenta ",Structure
What is the location of the Myoglobin ,Muscle tissue,Structure
Give the sequential order of the path way of impulse from retina to the area of perception.,Photo receptors -->  bipolar neurons --> ganglion cells     --> opticnerve —> occipital lobe of cerebrum ,Structure
Name the phase/ phases of action potential where most of the K+ channels are opened and Na+ channels are closed.,"Re polarization,Hyper polarization",Structure
What is considered as the source of embryonic stem cells?, Inner cell mass found inside blastocyst,Structure
How a plant shoot respond to phototropism.,"Differential growth of cells on opposite sides of the shoot. 
The cells in the darker side elongate faster than the cells toss the brighter side.",Structure
Briefly state what a hormone is?,"Specific types of signaling molecules secreted by an endocrine gland / endocrine cell
which travels in blood and 
acts on/ change the functioning of specific target cells elsewhere in the body.",Structure
State three structural features of dense connective tissue that can be used to distinguish it from other connective tissues when observed under the light microscope.,"Densely packed collagen fibres 
Reduced matrix 
Contain fewer cells",Structure
Name two substances that are produced when putrefaction of food occurs due to action of microorganisms.,"Amino acid 
Amines 
Ammonia 
Hydrogen Sulphide ",Structure
What is the significance of refractory period?,Prevent reverse conduction in an axon,Structure
Explain how breathing of man is homeostatically controlled.,"Breathing in humans is controlled by an involuntary homeostatic mechanism that ensures the body maintains appropriate levels of oxygen and carbon dioxide, as well as a stable pH in the blood. This regulation is crucial for maintaining proper cellular respiration and overall body function. The control of breathing primarily occurs through the medulla oblongata, located at the base of the brain, in conjunction with other regions of the brainstem, such as the pons.

The Role of the Medulla Oblongata
The medulla oblongata serves as the primary center for regulating breathing. It monitors the levels of carbon dioxide (CO?) and oxygen (O?) in the blood, as well as the pH, to maintain proper respiratory function. The regulation of breathing operates via a negative feedback mechanism, which ensures that the system adjusts to maintain balance and avoid over- or under-ventilation.

Inhalation and Stretch Receptors
During inhalation, the lungs expand as air is drawn in. Special stretch receptors located in the lungs detect this expansion and send nerve impulses to the medulla oblongata. When these signals reach the medulla, further inhalation is inhibited, preventing over-expansion of the lungs. This reflexive response ensures that the lungs do not over-inflate and become damaged, thus protecting the respiratory system.

Response to Carbon Dioxide and pH Levels
A key factor in controlling breathing is the concentration of carbon dioxide in the blood. As CO? levels rise in the bloodstream, the gas dissolves in the blood and forms carbonic acid, leading to a decrease in blood pH. This drop in pH (indicating increased acidity) is detected by chemoreceptors located both in the medulla oblongata and in the major blood vessels, such as the aorta and carotid arteries.

When the medulla oblongata detects this change in pH, it responds by increasing both the rate and depth of breathing. This accelerated breathing allows the body to expel excess CO? through exhalation, helping to bring the pH of the blood back to its normal value of approximately 7.4. Once CO? levels decrease and pH stabilizes, the medulla reduces the rate of breathing, ensuring homeostasis is maintained.

Response to Low Oxygen Levels
While the body primarily regulates breathing in response to CO? levels, it also responds to low oxygen concentrations. When the oxygen levels in the blood drop to very low levels, oxygen sensors located in the aorta and carotid arteries detect this deficiency. These sensors send signals to the medulla oblongata, prompting it to increase the breathing rate. This ensures that more oxygen is brought into the lungs and delivered to tissues, preventing oxygen deprivation.

The Role of the Pons
The regulation of breathing is further fine-tuned by additional neural circuits in the pons (Varolii), another region of the brainstem. The pons modulates the rhythm of breathing, ensuring that breathing patterns are smooth and coordinated, particularly during different physiological states such as rest, exercise, or sleep.

Summary of Homeostatic Control
The control of breathing in humans is a finely tuned homeostatic process governed by involuntary mechanisms. The medulla oblongata plays a central role, detecting changes in CO? and pH levels and adjusting the rate and depth of breathing accordingly. Stretch receptors in the lungs prevent over-expansion during inhalation, while chemoreceptors in the medulla and blood vessels detect changes in CO? and O? levels. This ensures that excess CO? is removed and that adequate oxygen levels are maintained, keeping the body's pH and gas concentrations stable. In periods of low oxygen or increased demand, such as during exercise, these mechanisms increase the breathing rate to ensure the body remains in homeostasis.

This intricate balance of neural inputs and feedback loops allows humans to maintain effective breathing patterns that adjust to varying internal and external conditions.",Essay
Give two ions which are reabsorbed actively in the distal convoluted tubule from the initial filtrate.,"Na+ , HCO3-",Structure
What is meant by “Eon” or “Era”,A standard time scale that divides earth’s history into 4 eons and further sub discussion,Structure
"From which portion of the blastocyst, does the fetal portion of placenta develop in humans?",trophoblast,Structure
Name three major terrestrial biomes,"Tropical forest 
Savanna 
 Desert",Structure
"Indicate two main organic compounds, that travel through the body, function as signaling molecules."," Protein 
 Lipid",Structure
Mainly in which form CO?2 is transported through the blood?,As HCO 3 - ons in the plasma,Structure
Define Gene expression,this is aprocess by which the information stored in a gene is used to make a functional gene product,Structure
Indicate two instances that the lipids functioning as insulators in the human body,"(Fat found) Under the skin layer 
Component of Myelin sheath",Structure
Which two lipid components contribute to atherosclerosis?,"Saturated fats 
Trans unsaturated fats ",Structure
Discuss the specific role of microorganisms in the natural cycling of carbon and nitrogen in the biosphere.,"Microorganisms play an essential role in the natural cycling of carbon and nitrogen, two key elements in the biosphere that are crucial for sustaining life. The carbon cycle involves the movement of carbon through different forms in the environment, primarily between living organisms and the atmosphere, while the nitrogen cycle ensures the availability of nitrogen, an essential nutrient for living organisms, through its transformation into biologically accessible forms.

Role of Microorganisms in the Carbon Cycle
In the carbon cycle, microorganisms contribute to both the fixation and release of carbon. CO? from the atmosphere or aquatic systems is fixed by chemoautotrophic and photosynthetic microorganisms, such as photosynthetic bacteria like cyanobacteria and algae, through the process of photosynthesis. These microorganisms convert carbon dioxide into organic compounds, which serve as the basis for food chains in various ecosystems.

When plants and animals die, heterotrophic bacteria and fungi break down their organic matter through decomposition. This decomposition process not only recycles nutrients but also leads to the release of CO? back into the environment through the respiration of microorganisms. This continuous cycling ensures that carbon is exchanged between living organisms and the atmosphere, maintaining the balance of carbon in the biosphere.

Role of Microorganisms in the Nitrogen Cycle
The nitrogen cycle is more complex because nitrogen exists in various forms that must be transformed before it can be used by living organisms. Soil microorganisms, such as Azotobacter and Rhizobium, play a key role in nitrogen fixation, the process by which atmospheric nitrogen (N?) is converted into ammonium (NH??) or nitrogenous compounds like proteins. These forms are usable by plants and other organisms.

Once nitrogen is incorporated into living organisms, it is eventually returned to the soil when these organisms die. The decomposition of proteins and organic matter in dead organisms is carried out by heterotrophic bacteria and fungi, resulting in the release of amino acids. Through a process called ammonification, these amino acids are further broken down into ammonium ions (NH??).

The next phase in the nitrogen cycle involves nitrification, where ammonium ions are first converted into nitrites (NO??) by the action of Nitrosomonas bacteria. Then, Nitrobacter bacteria convert nitrites into nitrates (NO??). Nitrates are a form of nitrogen that plants can absorb and use for growth.

However, some of the nitrates are not utilized by plants and may undergo denitrification, a process carried out by denitrifying bacteria such as Pseudomonas species. These bacteria convert nitrates back into gaseous nitrogen (N?), which is released into the atmosphere, completing the nitrogen cycle.

Conclusion
Microorganisms are indispensable in the natural cycling of carbon and nitrogen in the biosphere. In the carbon cycle, they contribute to both the fixation of carbon through photosynthesis and the release of carbon through decomposition. In the nitrogen cycle, they facilitate critical processes like nitrogen fixation, ammonification, nitrification, and denitrification, ensuring that nitrogen is continuously recycled and made available to living organisms. Without these microbial processes, the balance of carbon and nitrogen in the environment would be disrupted, affecting all forms of life on Earth.",Essay
Explain what is meant by Development ,Irreversible changes that occur during the life span of an organism,Structure
What are the two major functions of the dissolved inorganic ions in blood plasma?,"Act as buffers in blood
Maintain osmotic balance in blood",Structure
What is food web?,The interconnected feeding relationship in an ecosystem,Structure
what is Polygenic inheritance?,Result from cumulative expression of two or more genes ,Structure
Indicate one disorderSex chromosomal monosomic: mutation in human.,Turner Syndrome,Structure
Name the part of alimentary canal where the following food digestion begins?,"Disaccharides :- small intestine / jejunum 
Small poypeptides :- Deodenum 
Lipids :- Deodenum ",Structure
Give the feeding mechanism of the Jelly fish,Bulk Feeding,Structure
write a short notes Tissue culture,"Tissue culture is a sophisticated technique used in plant biology that enables the growth and maintenance of plant tissues, such as cells, in a controlled and sterile environment outside the organism, a process known as in vitro culture. This method leverages the principle of totipotency, which refers to the unique ability of a single plant cell to develop into an entire plant, provided it has the right environmental conditions and nutrients.

The tissue culture process begins with the selection of suitable explants, which are small pieces of plant tissue taken from a parent plant. These explants can include various parts of the plant, such as callus (a mass of undifferentiated cells), protoplasts (cells without cell walls), embryos, shoots, or roots. Once the explants are prepared, they are placed in a tissue culture medium specifically formulated to support growth and development.

A typical tissue culture medium consists of several essential components, including water, inorganic salts (ions), and organic substances such as sucrose, which serves as an energy source for the growing tissues. Additionally, plant growth regulators, specifically auxins and cytokinins, are incorporated into the medium to stimulate cell division and differentiation. To provide a solid support structure for the growing tissues, a solidifying agent like agar is often added.

The importance of tissue culture in plant propagation and biotechnology cannot be overstated. One of the primary advantages of this technique is the rapid multiplication of clones, allowing for the mass propagation of genetically uniform plants in a compact space. This is particularly beneficial for commercial agriculture, where large quantities of identical plants are often required. Furthermore, tissue culture facilitates the production of pathogen-free plants, ensuring healthier crops and reducing the risk of disease spread.

Tissue culture also allows for all-year-round production of plants, independent of seasonal variations. This is particularly advantageous for growers who wish to cultivate specific varieties at any time. Moreover, it enables the production of plants that do not produce viable seeds, thus providing a means to propagate such species. Finally, tissue culture plays a crucial role in genetic modification, allowing scientists to introduce desired traits into plants, enhancing their adaptability and productivity.

In conclusion, tissue culture is a powerful tool in modern botany and agriculture, providing a means to propagate plants efficiently and effectively while ensuring genetic uniformity and health. Its applications span commercial agriculture, conservation, and biotechnology, making it an invaluable method for advancing plant science and cultivation practices.",Essay
What is the monosaccharide unit found in NAD and ATP?,Ribose,Structure
Indicate the major types of monosaccharides and give an example for each type.,"Aldose Glucose / galactose 
Ketose Fructose ",Structure
Write deficiency symptoms of following Vitamins C and E,"Vitamin B9- Anemia, birth defects
Vitamin C- Scurvy. delayed wound healing",Structure
What is the function of calcium ions ( Ca2+ ) in muscle contraction?,Exposed the binding sites in myosin,Structure
write a short notes Binomial nomenclature,"Binomial nomenclature is the scientific system of naming species, which was proposed by the Swedish botanist Carolus Linnaeus. This system provides a standardized way to name and categorize living organisms, ensuring that each species has a unique and universally recognized scientific name. The binomial system follows specific rules that help maintain consistency and clarity in naming across the scientific community.

According to the principles of binomial nomenclature, the name of an organism is composed of two parts. The first part is the generic name, which refers to the genus to which the species belongs. This name is usually a noun and is shared by all species within the same genus. The second part is the specific epithet, which is an adjective describing a particular characteristic of the species and distinguishes it from other species within the same genus. For example, in the scientific name Homo sapiens, Homo is the generic name referring to the human genus, while sapiens is the specific epithet describing the species.

A key feature of binomial nomenclature is that related species share the same generic name but have different specific epithets, reflecting their close evolutionary relationship. For instance, Panthera leo (lion) and Panthera tigris (tiger) share the genus Panthera, indicating that they belong to the same genus but are distinct species.

The system also follows certain rules to ensure the uniqueness of scientific names. No two species can have the same binomial name, and each name is made up of Latin or Latinized words, which are universally recognized in the scientific community. These names are written in Roman script and must follow specific formatting conventions. When handwritten, the scientific name should be underlined, and when printed, it should be italicized. Additionally, the first letter of the generic name is capitalized, while the specific epithet is written in lowercase letters. This formatting helps clearly distinguish the two parts of the name.

In conclusion, binomial nomenclature, introduced by Carolus Linnaeus, is a systematic way of naming species using two parts: the generic name and the specific epithet. It follows strict rules regarding the use of Latinized words, the formatting of names, and ensures that each species has a unique, recognizable scientific name. This system helps organize and classify organisms, facilitating communication and study across the global scientific community.",Essay
Indicate the adaptation found in the thumb allows more mobility than the other fingers.,The joint present at the base of thumb between a specific carpal bone and the first metacarpal bone,Structure
"In recessive epistasis, write the genotypes of the two white flowered parents, which could produce only purple flowers F, generation.",AADbb X aaBB,Structure
Explain the role of light in Photosynthesis,"Light plays a crucial role in the process of photosynthesis, providing the energy required to drive the reactions that produce food and oxygen for plants and other photosynthetic organisms. Photosynthesis occurs in two main stages: light-dependent reactions (light reactions) and light-independent reactions (Calvin cycle). The light reactions take place in the thylakoid membranes of chloroplasts and are responsible for capturing light energy and converting it into chemical energy in the form of ATP and NADPH.

Light energy is essential for providing energy for photosynthesis. During the light reactions, energy in the form of ATP and reduced NADP (NADPH) is produced. These energy carriers are necessary for the subsequent stages of photosynthesis, where carbon dioxide is converted into glucose.

The light reactions are powered by specific wavelengths of light from the visible spectrum, primarily the red and blue regions. Chlorophylls and carotenoids in the plant's antenna complex, located in the grana membranes or thylakoids, absorb light energy (photons). The antenna complex is responsible for absorbing light energy and passing it on to the reaction centers of the photosystems.

Within the chloroplasts, there are two main photosystems involved in the light reactions: Photosystem I (PS I) and Photosystem II (PS II). Reaction center chlorophyll P700 in Photosystem I absorbs light at a wavelength of 700 nm, while reaction center chlorophyll P680 in Photosystem II absorbs light at a wavelength of 680 nm. When Photosystem II absorbs light energy, an electron is boosted to a higher energy level. This excited electron is accepted by a primary electron acceptor and then passed through a series of electron carriers of progressively lower energy levels.

As the electron moves through the electron transport chain, energy is released, which is used to produce ATP. This process is known as photophosphorylation, where light energy is converted into chemical energy in the form of ATP. Meanwhile, in Photosystem II, the photolysis of water occurs, splitting water molecules into protons (H+), electrons, and oxygen. This takes place in the grana of the chloroplast and is essential for replenishing the electrons lost by the reaction center in Photosystem II. The protons generated contribute to the formation of a proton gradient, which drives ATP synthesis, and the oxygen is released as a byproduct into the atmosphere.

In summary, light energy is vital in photosynthesis as it drives the light reactions, producing the ATP and NADPH needed for the Calvin cycle. These light reactions occur in the thylakoid membranes, where light is absorbed by chlorophyll and carotenoids in the photosystems, boosting electrons to higher energy levels and ultimately leading to the production of ATP and the photolysis of water.",Essay
"Writein correct sequence, four main stages by which the proto cell have been produced according to the theory of biochemical evolution.","A biotic synthesis of small/ simple organic molecules 
Polymerization to form macromolecules 
Packing of macromolecules into membrane 
Nucleic acids gain self-replicating capability ",Structure
"Write in correct sequence, the pathway that oxygen poor blood of human foetus gets oxygenated and returns to the foetus.",(Foetus) —> (two) arteries of umbilical cord —> chorionic villi —> umbilical veins —>  (foetus),Structure
